fecha,moneda,valor
2025-11-04,USD,1.148336
2025-11-04,COP,4442.189877
2025-11-03,USD,1.151934
2025-11-03,COP,4442.434959
2025-11-02,USD,1.152605
2025-11-02,COP,4439.608485
2025-11-01,COP,4467.910482
2025-11-01,USD,1.159953
2025-10-31,USD,1.159953
2025-10-31,COP,4478.647054
2025-10-30,COP,4466.892244
2025-10-30,USD,1.157166
2025-10-29,USD,1.160201
2025-10-29,COP,4498.678271
2025-10-28,COP,4533.05337
2025-10-28,USD,1.165543
2025-10-27,COP,4480.097865
2025-10-27,USD,1.16506
2025-10-26,COP,4514.209973
2025-10-26,USD,1.16302
2025-10-25,USD,1.16265
2025-10-25,COP,4495.095405
2025-10-24,USD,1.16265
2025-10-24,COP,4495.095405
2025-10-23,USD,1.16175
2025-10-23,COP,4507.940402
2025-10-22,USD,1.160807
2025-10-22,COP,4540.147533
2025-10-21,USD,1.159998
2025-10-21,COP,4505.144122
2025-10-20,COP,4521.955408
2025-10-20,USD,1.164402
2025-10-19,USD,1.165705
2025-10-19,COP,4495.786922
2025-10-18,COP,4497.072364
2025-10-18,USD,1.166039
2025-10-17,USD,1.166039
2025-10-17,COP,4465.825185
2025-10-16,USD,1.169932
2025-10-16,COP,4518.864051
2025-10-15,USD,1.164605
2025-10-15,COP,4532.001611
2025-10-14,COP,4554.023292
2025-10-14,USD,1.160187
2025-10-13,COP,4542.950882
2025-10-13,USD,1.15663
2025-10-12,COP,4494.592375
2025-10-12,USD,1.1602
2025-10-11,COP,4495.137876
2025-10-11,USD,1.161839
2025-10-10,COP,4556.443948
2025-10-10,USD,1.161839
2025-10-09,USD,1.156618
2025-10-09,COP,4498.815086
2025-10-08,USD,1.163063
2025-10-08,COP,4523.444507
2025-10-07,USD,1.165386
2025-10-07,COP,4517.617719
2025-10-06,COP,4524.345562
2025-10-06,USD,1.170988
2025-10-05,COP,4549.022364
2025-10-05,USD,1.171173
2025-10-04,COP,4560.459026
2025-10-04,USD,1.174117
2025-10-03,USD,1.174117
2025-10-03,COP,4545.181816
2025-10-02,USD,1.172465
2025-10-02,COP,4556.056398
2025-10-01,USD,1.173379
2025-10-01,COP,4553.307498
2025-09-30,USD,1.17353
2025-09-30,COP,4607.867346
2025-09-29,COP,4599.499346
2025-09-29,USD,1.173117
2025-09-28,USD,1.170681
2025-09-28,COP,4566.956741
2025-09-27,COP,4556.938619
2025-09-27,USD,1.170254
2025-09-26,USD,1.170254
2025-09-26,COP,4565.818037
2025-09-25,USD,1.166221
2025-09-25,COP,4550.596031
2025-09-24,USD,1.174412
2025-09-24,COP,4564.928058
2025-09-23,COP,4562.529824
2025-09-23,USD,1.18139
2025-09-22,USD,1.180045
2025-09-22,COP,4546.656046
2025-09-21,COP,4578.012192
2025-09-21,USD,1.173654
2025-09-20,COP,4581.536271
2025-09-20,USD,1.174557
2025-09-19,USD,1.174557
2025-09-19,COP,4571.750736
2025-09-18,COP,4591.226355
2025-09-18,USD,1.178976
2025-09-17,USD,1.182571
2025-09-17,COP,4585.230867
2025-09-16,COP,4591.260278
2025-09-16,USD,1.187099
2025-09-15,USD,1.176347
2025-09-15,COP,4597.245291
2025-09-14,USD,1.172587
2025-09-14,COP,4565.787554
2025-09-13,USD,1.173566
2025-09-13,COP,4566.871276
2025-09-12,USD,1.173566
2025-09-12,COP,4572.504683
2025-09-11,USD,1.173413
2025-09-11,COP,4571.933139
2025-09-10,USD,1.170302
2025-09-10,COP,4592.418159
2025-09-09,USD,1.17022
2025-09-09,COP,4591.358599
2025-09-08,COP,4636.903396
2025-09-08,USD,1.176879
2025-09-07,USD,1.171276
2025-09-07,COP,4647.903066
2025-09-06,USD,1.17219
2025-09-06,COP,4662.360894
2025-09-05,USD,1.17219
2025-09-05,COP,4639.820612
2025-09-04,USD,1.16565
2025-09-04,COP,4647.448229
2025-09-03,USD,1.166004
2025-09-03,COP,4671.01145
2025-09-02,COP,4659.856696
2025-09-02,USD,1.163466
2025-09-01,USD,1.17155
2025-09-01,COP,4703.892138
2025-08-31,COP,4694.562878
2025-08-31,USD,1.169041
2025-08-30,COP,4699.061296
2025-08-30,USD,1.168492
2025-08-29,COP,4694.123325
2025-08-29,USD,1.168492
2025-08-28,COP,4703.472428
2025-08-28,USD,1.168115
2025-08-27,USD,1.164741
2025-08-27,COP,4692.870549
2025-08-26,USD,1.163877
2025-08-26,COP,4719.659385
2025-08-25,USD,1.161642
2025-08-25,COP,4676.48168
2025-08-24,COP,4667.943139
2025-08-24,USD,1.170905
2025-08-23,COP,4673.063023
2025-08-23,USD,1.17219
2025-08-22,COP,4702.825819
2025-08-22,USD,1.17219
2025-08-21,COP,4685.065127
2025-08-21,USD,1.161265
2025-08-20,USD,1.165122
2025-08-20,COP,4691.595074
2025-08-19,USD,1.164226
2025-08-19,COP,4696.056812
2025-08-18,USD,1.166793
2025-08-18,COP,4684.673823
2025-08-17,USD,1.170605
2025-08-17,COP,4737.331145
2025-08-16,COP,4701.197582
2025-08-16,USD,1.170617
2025-08-15,COP,4701.197582
2025-08-15,USD,1.170617
2025-08-14,USD,1.165066
2025-08-14,COP,4719.916903
2025-08-13,USD,1.171248
2025-08-13,COP,4712.517147
2025-08-12,USD,1.16768
2025-08-12,COP,4694.655844
2025-08-11,COP,4681.172991
2025-08-11,USD,1.161714
2025-08-10,COP,4711.305838
2025-08-10,USD,1.164755
2025-08-09,COP,4711.556724
2025-08-09,USD,1.164817
2025-08-08,COP,4710.519131
2025-08-08,USD,1.164817
2025-08-07,USD,1.16759
2025-08-07,COP,4725.236875
2025-08-06,USD,1.166262
2025-08-06,COP,4717.903475
2025-08-05,USD,1.157863
2025-08-05,COP,4735.949009
2025-08-04,COP,4747.708235
2025-08-04,USD,1.158359
2025-08-03,COP,4778.322593
2025-08-03,USD,1.158614
2025-08-02,USD,1.159353
2025-08-02,COP,4780.4474
2025-08-01,USD,1.159353
2025-08-01,COP,4782.317548
2025-07-31,COP,4782.571319
2025-07-31,USD,1.142322
2025-07-30,COP,4786.913584
2025-07-30,USD,1.142871
2025-07-29,USD,1.155028
2025-07-29,COP,4777.775226
2025-07-28,COP,4841.817707
2025-07-28,USD,1.159622
2025-07-27,COP,4779.436055
2025-07-27,USD,1.17562
2025-07-26,COP,4775.561579
2025-07-26,USD,1.174668
2025-07-25,USD,1.174668
2025-07-25,COP,4825.831318
2025-07-24,COP,4788.939596
2025-07-24,USD,1.175558
2025-07-23,COP,4754.280042
2025-07-23,USD,1.17737
2025-07-22,COP,4780.673116
2025-07-22,USD,1.173874
2025-07-21,USD,1.169427
2025-07-21,COP,4719.034991
2025-07-20,COP,4677.391488
2025-07-20,USD,1.163021
2025-07-19,COP,4674.330945
2025-07-19,USD,1.162261
2025-07-18,USD,1.162261
2025-07-18,COP,4657.181754
2025-07-17,COP,4671.767939
2025-07-17,USD,1.161507
2025-07-16,USD,1.163536
2025-07-16,COP,4671.164862
2025-07-15,USD,1.160699
2025-07-15,COP,4684.000428
2025-07-14,USD,1.166592
